<<<<<<< HEAD
year,month,store_id,country,name_of_repairitem
2019,1,8,United States,testing
2019,2,8,United States,Speaker Replacement (Tax exclusive)
2019,3,8,United States,"ok,Speaker Replacement (Tax exclusive)"
2019,4,8,United States,Speaker Replacement (Tax exclusive)
2019,5,8,United States,Apple iPad 2 - Speaker Replacement (Tax exclusive)
2019,6,8,United States,Speaker Replacement (Tax exclusive)
2019,7,8,United States,Diagnostic & troubleshooting per Hour
2019,9,8,United States,Diagnostic & troubleshooting per Hour
2019,10,8,United States,Data Recovery - per hour
2019,11,8,United States,Data Recovery - per hour
2020,3,8,United States,"0900, 0485, Camera Lens (Rear)"
2020,5,8,United States,CHARGING PORT REPLACEMENT 
2020,6,8,United States,CHARGING PORT REPLACEMENT 
2020,7,8,United States,CHARGING PORT REPLACEMENT 
2020,9,8,United States,CHARGING PORT REPLACEMENT 
2020,10,8,United States,CHARGING PORT REPLACEMENT 
2019,1,38,Australia,Front Assembly Replacement 
2019,2,38,Australia,"Full Assembly Replacement , Back Glass Replacement"
2019,3,38,Australia,"Front Assembly Replacement , Front Flex Replacement"
2019,4,38,Australia,Screen Replacement 
2019,5,38,Australia,Front Assembly Replacement 
2019,6,38,Australia,Front Glass/Digitiser Replacement 
2019,7,38,Australia,Front Assembly (Copy Screen)
2019,8,38,Australia,Front Assembly Replacement 
2019,9,38,Australia,Front Assembly Replacement (GLASS Only*) 
2019,10,38,Australia,Dock/Microphone Replacement 
2019,11,38,Australia,"Screen Replacement (Blue,Black), Back Glass Replacement "
2019,12,38,Australia,Tristar Replacement
2020,1,38,Australia,Earpiece Replacement
2020,2,38,Australia,Front Assembly (Copy)
2020,3,38,Australia,"U2 IC Replacement , Data Recovery"
2020,4,38,Australia,Diagnose and Quote
2020,5,38,Australia,See Notes
2020,6,38,Australia,After Market Screen
2020,7,38,Australia,Front Glass/Digitiser Replacement 
2020,8,38,Australia,Software Repair
2020,9,38,Australia,D&Q
2020,10,38,Australia, Front Glass/Digitiser Replacement 
2020,11,38,Australia,Front Assembly Replacement (GLASS Only*) 
2020,12,38,Australia,"Front Assembly Replacement , Battery Replacement "
2020,3,40,United States,General Inspection and Check
2020,5,40,United States,Screen (Digitizer and LCD) replacement
2019,1,45,United States,"Diagnostic,Touch screen replacement"
2019,2,45,United States,Charging Port
2019,3,45,United States,Screen & LCD Replacement
2019,4,45,United States,Screen & LCD Replacement
2019,5,45,United States,sdfg
2019,6,45,United States,Screen Replacement
2019,7,45,United States,"LCD Replacement, Charging Port"
2019,8,45,United States,Not Cooling
2019,9,45,United States,power button replacement 11
2019,10,45,United States,Electronics problem
2019,11,45,United States,Diagnosis & Repair
2019,12,45,United States,Not Pumping water out
2020,1,45,United States,"Screen replacement, Battery replacement"
2020,2,45,United States,new issue
2020,3,45,United States,barcode
2020,4,45,United States,Screen replacement
2020,5,45,United States,Huawei Mate 9 Screen Replacement Blk
2020,6,45,United States,fvgxvxcv
2020,7,45,United States,Back Glass
2020,8,45,United States,screen replacement 1
2020,9,45,United States,new issue
2020,10,45,United States,screen  lcd issue
2020,11,45,United States,Home button repair
2020,12,45,United States,IPHONE 6 EAR PIECEuuuuuu
2019,7,48,Australia,Audio IC replacement
2019,8,48,Australia,Quote To Repair
2019,1,62,Australia,Australian Network Unlock
2019,2,62,Australia,Screen (Digitizer+LCD) White
2019,3,62,Australia,Front Camera
2019,4,62,Australia,Screen (Digitizer+LCD) White
2019,5,62,Australia,"Camera Lens Glass (Rear), Rear camera Replacement"
2019,6,62,Australia,Screen Replacement Black
2019,7,62,Australia,Screen (Digitizer+LCD) Black
2019,8,62,Australia,Sceen and LCD Replacement
2019,9,62,Australia,Huawei Mate 10 Battery 
2019,10,62,Australia,back glass panel
2019,11,62,Australia,Screen Replacement White
2019,12,62,Australia,Battery Replacement
2020,1,62,Australia,Screen Replacement White
2020,2,62,Australia,Screen Replacement Black
2020,3,62,Australia,Screen Replacement White
2020,4,62,Australia,Screen (Digitizer+LCD) Black
2020,5,62,Australia,Screen (Digitizer+LCD) Black
2020,6,62,Australia,Screen Replacement (Glass & LCD) OEM
2020,7,62,Australia,Charging Port Replacement
2020,8,62,Australia,"Screen Replacement White, iPhone 6 Battery"
2020,9,62,Australia,Screen Replacement
2020,10,62,Australia,Passcode Removal
2020,11,62,Australia,Screen Replacement
2020,12,62,Australia,Charging Port Replacement
2019,5,69,Australia,sold
2019,7,69,Australia,Lcd replacement
2019,9,69,Australia,Used Phone sold
2020,4,69,Australia,LCD
2020,11,69,Australia,PhONE SOLD
2020,12,69,Australia, used phone sold
2019,1,71,United Kingdom,Screen Replacement
2019,9,71,United Kingdom,Screen Replacement
2019,10,71,United Kingdom,Screen Replacement
2019,12,71,United Kingdom,Internal Component
2020,1,71,United Kingdom,HDMI
2020,2,71,United Kingdom,Screen Replacement
2020,3,71,United Kingdom,Battery Replacement
2020,4,71,United Kingdom,"Postage/Courier , SSD Upgrade, Internal Component"
2020,5,71,United Kingdom,"Glass Only Replacement, Courier/Postage"
2020,6,71,United Kingdom,"Back Glass Replacement , Postage/Courier"
2020,7,71,United Kingdom,Screen Replacement
2020,8,71,United Kingdom,Diagnostics
2020,9,71,United Kingdom,Cosmetics
2020,10,71,United Kingdom,"Diagnostics, Internal"
2020,11,71,United Kingdom,Labour Only 
2020,12,71,United Kingdom,"Internal , Battery "
2019,1,83,Australia,Quote
2019,2,83,Australia,Board Repair
2019,3,83,Australia,Board Repair
2019,4,83,Australia,Back Glass Replacement
2019,5,83,Australia,Wont Boot
2019,6,83,Australia,Back Glass Replacement
2019,7,83,Australia,Board Repair
2019,8,83,Australia,Back Glass Replacement
2019,9,83,Australia,Battery Replacement
2019,10,83,Australia,not charging
2019,11,83,Australia,Audio IC
2019,12,83,Australia,Audio IC
2020,1,83,Australia,Screen (Digitizer+LCD) Replacement
2020,2,83,Australia,front + back replacement
2020,3,83,Australia,Screen (Digitizer+LCD) Replacement
2020,4,83,Australia,Audio IC
2020,5,83,Australia,Touch problem
2020,6,83,Australia,Wont Boot
2020,7,83,Australia,Screen (Digitizer+LCD) Replacement
2020,8,83,Australia,screen replacement
2020,9,83,Australia,Board Repair
2020,10,83,Australia,"Screen (Digitizer+LCD) Replacement, Charging Port Replacement, Battery Replacement"
2020,11,83,Australia,FRONT REPLACEMEMT
2020,12,83,Australia,screen replacement
2019,1,88,United States,ok
2019,2,88,United States,Speaker Replacement (Tax exclusive)
2019,3,88,United States,Speaker Replacement (Tax exclusive)
