Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,4926.63,0,216.68,0,0,5143.31,4707.53,329.5271,0,915.45,4227.86,82.20% ,165.91322580645,326.86,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,4926.63,0,216.68,0,0,0,0,0,0,
Number of Transactions,66,0,16,0,0,0,0,0,0,
Average Transaction Size,74.645909090909,0,13.5425,0,0,0,0,0,0,

Techy Boca Raton,21966.49,0,3094.47,0,0,25060.96,26328.22,1842.9754,1035.97,5201.88,18823.11,78.35% ,808.41806451613,1673.39,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,21966.49,0,3094.47,0,0,0,0,0,0,
Number of Transactions,239,0,224,0,0,0,0,0,0,
Average Transaction Size,91.91,0,13.814598214286,0,0,0,0,0,0,

Techy Boynton Beach,10312.09,0,479.95,0,0,10792.04,11374.38,796.2066,0,1491.81,9300.23,86.18% ,348.13032258065,748.17,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,10312.09,0,479.95,0,0,0,0,0,0,
Number of Transactions,121,0,29,0,0,0,0,0,0,
Average Transaction Size,85.223884297521,0,16.55,0,0,0,0,0,0,

Techy Cape Coral,12225,0,291,0,0,12516,12817.44,897.2208,0,1584.29,10931.71,87.34% ,403.74193548387,809.5,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,12225,0,291,0,0,0,0,0,0,
Number of Transactions,169,0,37,0,0,0,0,0,0,
