Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,7334.41,0,104.97,0,0,7439.38,7931.29,555.1903,27,1973.86,5438.52,73.37% ,239.98,518.91,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,7334.41,0,104.97,0,0,0,0,0,0,
Number of Transactions,76,0,16,0,0,0,0,0,0,
Average Transaction Size,96.505394736842,0,6.560625,0,0,0,0,0,0,

Techy Boca Raton,34364.41,0,5041.35,0,17.8900,39423.65,41625.3,2913.771,10,10093.62,29320.03,74.39% ,1271.7306451613,2748.83,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,34364.41,0,5041.35,0,17.8900,0,0,0,0,
Number of Transactions,325,0,300,0,1,0,0,0,0,
Average Transaction Size,105.73664615385,0,16.8045,0,17.89,0,0,0,0,

Techy Boynton Beach,5039.01,0,239,0,0,5278.01,5146.76,360.2732,0,1003.88,4274.13,80.98% ,170.25838709677,369.49,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,5039.01,0,239,0,0,0,0,0,0,
Number of Transactions,51,0,10,0,0,0,0,0,0,
Average Transaction Size,98.804117647059,0,23.9,0,0,0,0,0,0,

Techy Cape Coral,11230,0,2328.99,100.0000,0,13658.99,14545.99,1018.2193,6.5,2104.78,11547.71,84.58% ,440.61258064516,878.27,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,11230,0,2328.99,100.0000,0,0,0,0,0,
