Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,4361.9,0,0,4361.9,4626.86,0,0,0,4361.9,100.00% ,145.39666666667,264.96,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,4361.9,0,0,0,0,0,0,
Number of Transactions,0,0,3,0,0,0,0,0,0,
Average Transaction Size,0,0,1453.9666666667,0,0,0,0,0,0,

Techy Athens,6591.35,0,321.91,0,0,6913.26,7174.82,502.2374,0,1373.47,5539.79,80.13% ,230.442,477.68,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,6591.35,0,321.91,0,0,0,0,0,0,
Number of Transactions,81,0,36,0,0,0,0,0,0,
Average Transaction Size,81.374691358025,0,8.9419444444444,0,0,0,0,0,0,

Techy Boca Raton,29581,0,5140.34,0,10.0000,34731.34,37310.79,2611.7553,0,9848.33,24883.01,71.64% ,1157.7113333333,2420.14,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,29581,0,5140.34,0,10.0000,0,0,0,0,
Number of Transactions,291,0,224,0,1,0,0,0,0,
Average Transaction Size,101.6529209622,0,22.947946428571,0,10,0,0,0,0,

Techy Boynton Beach,5120.94,0,184.02,0,0,5304.96,5295.26,370.6682,0,1041.21,4263.75,80.37% ,176.832,371.37,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,5120.94,0,184.02,0,0,0,0,0,0,
Number of Transactions,55,0,12,0,0,0,0,0,0,
Average Transaction Size,93.108,0,15.335,0,0,0,0,0,0,

Techy Cape Coral,12101.89,0,716,0,0,12817.89,13638.77,954.7139,0,1882.77,10935.12,85.31% ,427.263,786.2,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,12101.89,0,716,0,0,0,0,0,0,
Number of Transactions,136,0,41,0,0,0,0,0,0,
