Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,8618.9,0,338.91,0,0,8957.81,9567.46,669.7222,15,1726.02,7216.79,80.70% ,288.96161290323,624.65,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,8618.9,0,338.91,0,0,0,0,0,0,
Number of Transactions,93,0,35,0,0,0,0,0,0,
Average Transaction Size,92.676344086022,0,9.6831428571429,0,0,0,0,0,0,

Techy Boca Raton,38878.71,0,3227.78,0,0,42106.49,44759.5,3133.165,0,12050.57,30055.92,71.38% ,1358.2738709677,2930.49,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,38878.71,0,3227.78,0,0,0,0,0,0,
Number of Transactions,376,0,235,0,0,0,0,0,0,
Average Transaction Size,103.40082446809,0,13.735234042553,0,0,0,0,0,0,

Techy Boynton Beach,5547.13,0,303.98,0,0,5851.11,6260.71,438.2497,0,1057.41,4793.7,81.93% ,188.74548387097,409.6,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,5547.13,0,303.98,0,0,0,0,0,0,
Number of Transactions,57,0,17,0,0,0,0,0,0,
Average Transaction Size,97.318070175439,0,17.881176470588,0,0,0,0,0,0,

Techy Cape Coral,11559.01,0,1102.98,0,0,12661.99,13502.45,945.1715,0,1407,11254.99,88.89% ,408.45129032258,823.19,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,11559.01,0,1102.98,0,0,0,0,0,0,
