Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,0,0,16081.75,0,0,16081.75,9981.99,698.7393,0,16081.75,0,0.00% ,518.76612903226,1118.2,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,16081.75,0,0,0,0,0,0,
Number of Transactions,0,0,308,0,0,0,0,0,0,
Average Transaction Size,0,0,52.213474025974,0,0,0,0,0,0,

Techy Boca Raton,0,0,21341.46,0,0,21341.46,19075.52,1335.2864,0,21341.46,0,0.00% ,688.43419354839,1376.39,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,21341.46,0,0,0,0,0,0,
Number of Transactions,0,0,318,0,0,0,0,0,0,
Average Transaction Size,0,0,67.111509433962,0,0,0,0,0,0,

Techy Boynton Beach,0,0,16536.98,0,0,16686.97,17042.32,1192.9624,0,16686.97,0,0.00% ,538.28935483871,1130.76,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,16536.98,0,0,0,0,0,0,
Number of Transactions,0,0,280,0,0,0,0,0,0,
Average Transaction Size,0,0,59.060642857143,0,0,0,0,0,0,

Techy Cape Coral,6320.53,40.0000,4572.17,0,0,10932.7,10377.73,726.4411,739.92,4973.72,5219.06,51.20% ,352.66774193548,631.03,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,6320.53,40.0000,4572.17,0,0,0,0,0,0,
Number of Transactions,65,1,114,0,0,0,0,0,0,
