Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,100,0,0,100,100,0,0,0,100,100.00% ,3.2258064516129,0,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,100,0,0,0,0,0,0,
Number of Transactions,0,0,1,0,0,0,0,0,0,
Average Transaction Size,0,0,100,0,0,0,0,0,0,

Techy Athens,13432.83,0,790.49,0,0,14223.32,14714.33,1030.0031,251.86,2838.17,11133.29,79.69% ,458.81677419355,968.35,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,13432.83,0,790.49,0,0,0,0,0,0,
Number of Transactions,182,0,77,0,0,0,0,0,0,
Average Transaction Size,73.806758241758,0,10.266103896104,0,0,0,0,0,0,

Techy Boca Raton,22963.68,0,2908.45,0,0,25872.13,25137.34,1759.6138,837.97,4543.67,20490.49,81.85% ,834.58483870968,1723.53,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,22963.68,0,2908.45,0,0,0,0,0,0,
Number of Transactions,256,0,200,0,0,0,0,0,0,
Average Transaction Size,89.701875,0,14.54225,0,0,0,0,0,0,

Techy Boynton Beach,10590.73,0,498.01,0,0,11088.74,10988.75,769.2125,10,1657.78,9420.96,85.04% ,357.70129032258,738.48,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,10590.73,0,498.01,0,0,0,0,0,0,
Number of Transactions,121,0,29,0,0,0,0,0,0,
Average Transaction Size,87.526694214876,0,17.17275862069,0,0,0,0,0,0,

Techy Cape Coral,9119.99,0,2980.98,0,0,12100.97,13037.76,912.6432,0,1826.92,10274.05,84.90% ,390.35387096774,786.79,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,9119.99,0,2980.98,0,0,0,0,0,0,
Number of Transactions,114,0,104,0,0,0,0,0,0,
Average Transaction Size,79.999912280702,0,28.663269230769,0,0,0,0,0,0,

Techy Cooper City,12679.83,0,1371.89,175.0000,0,14226.72,9597.86,671.8502,756.56,1731.15,11739.01,87.15% ,458.9264516129,903.31,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,12679.83,0,1371.89,175.0000,0,0,0,0,0,
Number of Transactions,130,0,75,1,0,0,0,0,0,
Average Transaction Size,97.537153846154,0,18.291866666667,175,0,0,0,0,0,

Techy Coral Springs,18563.92,0,4477.84,300.0000,0,23341.76,25277.31,0,5,6180.27,17156.49,73.52% ,752.96,1578.28,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,18563.92,0,4477.84,300.0000,0,0,0,0,0,
Number of Transactions,233,0,240,1,0,0,0,0,0,
Average Transaction Size,79.67347639485,0,18.657666666667,300,0,0,0,0,0,

Techy Davie,11783.82,54.9900,2479.62,0,0,14318.43,15560.83,1089.2581,84.5,3083.74,11150.19,78.34% ,461.88483870968,986.06,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,11783.82,54.9900,2479.62,0,0,0,0,0,0,
Number of Transactions,164,1,184,0,0,0,0,0,0,
Average Transaction Size,71.85256097561,54.99,13.476195652174,0,0,0,0,0,0,

Techy Myers,9606.85,0,814.87,0,0,10421.72,10356.6,0,20,1646.61,8755.11,84.17% ,336.18451612903,705.95,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,9606.85,0,814.87,0,0,0,0,0,0,
Number of Transactions,147,0,69,0,0,0,0,0,0,
Average Transaction Size,65.352721088435,0,11.809710144928,0,0,0,0,0,0,

Techy Hialeah,17427.38,0,3629.32,0,1313.0000,22369.7,22836.39,1598.5473,79.85,5846.24,16443.61,73.77% ,721.60322580645,1353.13,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,17427.38,0,3629.32,0,1313.0000,0,0,0,0,
Number of Transactions,216,0,252,0,14,0,0,0,0,
Average Transaction Size,80.682314814815,0,14.402063492063,0,93.785714285714,0,0,0,0,

Techy HQ Retail,17104.44,109.9900,3331.35,480.0000,25.0000,21050.78,21514.43,1506.0101,10,4527.14,16513.64,78.48% ,679.05741935484,1267.38,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,17104.44,109.9900,3331.35,480.0000,25.0000,0,0,0,0,
Number of Transactions,221,4,158,2,1,0,0,0,0,
Average Transaction Size,77.395656108597,27.4975,21.084493670886,240,25,0,0,0,0,

Techy Las Olas,9925.43,0,2884.29,0,50.0000,12859.72,13097.93,916.8551,219.99,2745.02,9894.71,78.28% ,414.82967741935,568.19,

