Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,11337.58,0,481.73,0,0,11819.31,12363.07,865.4149,287.99,764.4,10766.92,93.37% ,393.977,801.68,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,11337.58,0,481.73,0,0,0,0,0,0,
Number of Transactions,152,0,51,0,0,0,0,0,0,
Average Transaction Size,74.589342105263,0,9.4456862745098,0,0,0,0,0,0,

Techy Boca Raton,15219.96,0,1664.27,0,0,16884.23,17342.93,1214.0051,0,3163.46,13720.77,81.26% ,562.80766666667,1111.79,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,15219.96,0,1664.27,0,0,0,0,0,0,
Number of Transactions,179,0,113,0,0,0,0,0,0,
Average Transaction Size,85.027709497207,0,14.728053097345,0,0,0,0,0,0,

Techy Boynton Beach,10855.84,0,778.98,0,0,11634.82,12196.9,853.783,30,1681.16,9923.66,85.51% ,387.82733333333,777.06,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,10855.84,0,778.98,0,0,0,0,0,0,
Number of Transactions,137,0,47,0,0,0,0,0,0,
Average Transaction Size,79.239708029197,0,16.574042553191,0,0,0,0,0,0,

Techy Cape Coral,13219.98,0,1745.87,0,0,14965.85,15654.41,1095.8087,0,1688.06,13277.79,88.72% ,498.86166666667,970.31,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,13219.98,0,1745.87,0,0,0,0,0,0,
