Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,-137.16,0,10,0,0,-127.16,-134.79,0,0,-3,-124.16,0.00% ,-4.101935483871,-7.63,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,-137.16,0,10,0,0,0,0,0,0,
Number of Transactions,2,0,1,0,0,0,0,0,0,
Average Transaction Size,-68.58,0,10,0,0,0,0,0,0,

Techy Athens,8853.99,0,679.72,0,0,9533.71,9736.48,681.5536,40,1087.52,8406.19,88.54% ,307.53903225806,662.55,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,8853.99,0,679.72,0,0,0,0,0,0,
Number of Transactions,111,0,61,0,0,0,0,0,0,
Average Transaction Size,79.765675675676,0,11.142950819672,0,0,0,0,0,0,

Techy Boca Raton,22818.27,-75.0000,4743.61,0,0,27486.88,28968.51,2027.7957,0,3507.14,23979.74,87.24% ,886.6735483871,1872.04,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,22818.27,-75.0000,4743.61,0,0,0,0,0,0,
Number of Transactions,246,1,216,0,0,0,0,0,0,
Average Transaction Size,92.757195121951,-75,21.961157407407,0,0,0,0,0,0,

Techy Boynton Beach,13812.35,0,1924.93,0,0,15737.28,16766.39,1173.6473,50,2181.81,13505.47,86.09% ,507.65419354839,1037.11,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,13812.35,0,1924.93,0,0,0,0,0,0,
Number of Transactions,170,0,93,0,0,0,0,0,0,
Average Transaction Size,81.249117647059,0,20.698172043011,0,0,0,0,0,0,

Techy Cape Coral,14278.78,100.0000,528.3,0,0,14907.08,15621.51,1093.5057,0,1918.74,12988.34,87.13% ,480.8735483871,969.22,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,14278.78,100.0000,528.3,0,0,0,0,0,0,
Number of Transactions,180,2,45,0,0,0,0,0,0,
Average Transaction Size,79.326555555556,50,11.74,0,0,0,0,0,0,

Techy Cooper City,10887.84,0,1183.84,0,0,12156.68,13018.58,911.3006,0,2658.08,9498.6,78.13% ,392.15096774194,840.49,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,10887.84,0,1183.84,0,0,0,0,0,0,
Number of Transactions,128,0,77,0,0,0,0,0,0,
