Store Name,Repairs,Unlocking,Products,Trade-In,Causal,Total sales,Payments Received,Franchise Fee,Discount,COGS,Net profit,Net Profit Margins,Avg Sales,Total tax
 Techy by DrPhoneFix Control Center,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
 
Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,0,0,0,0,0,0,0,0,0,
Number of Transactions,0,0,0,0,0,0,0,0,0,
Average Transaction Size,0,0,0,0,0,0,0,0,0,

Techy Athens,7131,0,226.95,0,0,7357.95,7759.06,543.1342,0,1361.53,5996.42,81.50% ,237.35322580645,507.4,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,7131,0,226.95,0,0,0,0,0,0,
Number of Transactions,71,0,24,0,0,0,0,0,0,
Average Transaction Size,100.43661971831,0,9.45625,0,0,0,0,0,0,

Techy Boca Raton,34213.6,0,3274.03,0,0,37487.63,40280.2,2819.614,0,12237.89,25249.74,67.35% ,1209.2783870968,2613.9,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,34213.6,0,3274.03,0,0,0,0,0,0,
Number of Transactions,304,0,185,0,0,0,0,0,0,
Average Transaction Size,112.54473684211,0,17.697459459459,0,0,0,0,0,0,

Techy Boynton Beach,4219.13,0,239.99,0,0,4459.12,4513.31,315.9317,0,494.31,3964.81,88.91% ,143.84258064516,312.16,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,4219.13,0,239.99,0,0,0,0,0,0,
Number of Transactions,43,0,9,0,0,0,0,0,0,
Average Transaction Size,98.119302325581,0,26.665555555556,0,0,0,0,0,0,

Techy Cape Coral,10901.32,0,431,0,0,11332.32,11807.38,826.5166,0,1760.06,9572.26,84.47% ,365.55870967742,690.54,

Detail for Catagories,Repair Breakdown,Unlocking Breakdown,Products Breakdown,Trade-In Breakdown,Casual Breakdown,Bill Payments Breakdown,Services Breakdown,Gift Cards Breakdown 
Sales,10901.32,0,431,0,0,0,0,0,0,
