DATE,PCE,POP,PSAVERT,UEMPMED,UNEMPLOY
1/1/1959,306.1,156309,11.3,4.5,2034
2/1/1959,309.6,156527,10.6,4.7,2328
3/1/1959,312.7,156731,10.3,4.6,2399
4/1/1959,312.2,156943,11.2,4.9,2386
5/1/1959,316.1,157140,10.6,4.7,2118
6/1/1959,318.2,157343,10.5,4.8,2214
7/1/1959,317.8,157553,10.7,5.1,2213
8/1/1959,320.2,157798,9.6,4.5,2350
9/1/1959,324.2,158053,8.7,4.1,2302
10/1/1959,322.8,158306,9.4,4.6,2259
11/1/1959,322.9,158451,10.1,4.4,2285
12/1/1959,322.9,158757,11,4.4,2429
1/1/1960,323.6,158973,10.9,4.5,2596
2/1/1960,325.3,159170,10.6,4.2,2849
3/1/1960,330.2,159349,9.4,4.6,3030
4/1/1960,336.5,159556,8.4,4.8,3260
5/1/1960,330,159745,10.4,4.4,3707
6/1/1960,330.1,159956,10.4,4.4,3776
7/1/1960,331.4,160184,10.4,4.4,4111
8/1/1960,331.6,160449,10.3,4.9,4193
9/1/1960,333.4,160718,10,4,4049
10/1/1960,335.4,160978,9.8,4,4916
11/1/1960,335.4,161223,9.8,4.2,3996
12/1/1960,331.3,161453,10.4,4.4,4063
1/1/1961,332.2,161690,11.1,4.4,4026
2/1/1961,333.7,161912,11.1,4.4,3936
3/1/1961,337.7,162124,10.4,4.7,3876
4/1/1961,337.6,162350,10.6,4.5,3575
5/1/1961,339.9,162564,10.8,4.8,3434
6/1/1961,340.9,162790,11.5,4.6,3367
7/1/1961,340.6,163026,12,4.6,3120
8/1/1961,342.1,163290,11.7,4.5,2799
9/1/1961,344.4,163570,11.3,4.6,2774
10/1/1961,346.5,163847,11.7,4.1,2625
11/1/1961,349.9,164107,11.6,4.7,2589
12/1/1961,352.4,164349,11.6,4.9,2639
1/1/1962,353.2,164588,11.3,5.1,2305
2/1/1962,354,164809,11.8,5.4,2117
3/1/1962,357.4,165018,11.6,5.2,2125
4/1/1962,359,165251,11.7,5.2,1919
5/1/1962,362,165463,11.1,5.6,1856
6/1/1962,360.4,165695,11.5,5.9,1995
7/1/1962,361.4,165931,11.6,6.2,1950
8/1/1962,362.9,166192,11.4,6.3,1933
9/1/1962,368.8,166473,10.4,6.4,2067
10/1/1962,366.5,166755,11.3,6.5,2194
11/1/1962,371.7,167023,10.4,6.7,2178
12/1/1962,373.6,167270,10.3,5.7,1960
1/1/1963,374.4,167513,10.9,6.2,1972
2/1/1963,373.4,167746,10.7,6.4,1957
3/1/1963,375,167977,10.6,5.8,1813
4/1/1963,376.4,168221,10.7,6.5,1811
5/1/1963,377.2,168436,10.9,6.4,1863
6/1/1963,381.7,168659,10.5,6.2,1884
7/1/1963,384.4,168903,10.1,6.2,1991
8/1/1963,386.3,169191,10.2,6.6,2087
9/1/1963,385.5,169488,11,6.6,1936
10/1/1963,386,169780,11.5,6.7,1839
11/1/1963,389.4,170063,11,6.6,1743
12/1/1963,394.7,170315,10.7,5.4,1667
1/1/1964,396.8,170571,10.7,6.1,1839
2/1/1964,400.2,170806,10.4,6,1636
3/1/1964,401.8,171029,12.1,5.6,1647
4/1/1964,402.8,171271,12.4,5.7,1723
5/1/1964,408.4,171501,11.7,5.7,1596
6/1/1964,411.4,171741,11.5,6.1,1607
7/1/1964,414.9,171984,11.2,5.7,1660
8/1/1964,417.7,172257,11.1,5.2,1665
9/1/1964,416.6,172538,11.8,5.5,1821
10/1/1964,419.6,172816,11.2,5,1974
11/1/1964,416.4,173070,12.5,4.9,2211
12/1/1964,421,173298,12.5,5,2818
1/1/1965,424.4,173533,12.1,5.2,3077
2/1/1965,431.4,173746,10.7,4.9,3331
3/1/1965,433.3,173945,10.8,5.4,3607
4/1/1965,437.1,174176,10.2,5.5,3749
5/1/1965,437.6,174397,11.2,5.1,3767
6/1/1965,435.2,174639,12.1,4.7,3551
7/1/1965,441,174882,11.9,5,3659
8/1/1965,444.4,175143,11.7,5.1,3854
9/1/1965,452,175413,12.5,4.8,3927
10/1/1965,458.5,175697,10.9,5,3666
11/1/1965,459.1,175966,11.5,4.6,3402
12/1/1965,461.7,176207,11.7,5.3,3196
1/1/1966,465.2,176447,11.2,5.7,3157
2/1/1966,470.2,176685,11,5,2969
3/1/1966,475,176905,10.7,5.3,2918
4/1/1966,476.9,177146,10.3,5.5,3049
5/1/1966,473.1,177365,11.2,5.2,2747
6/1/1966,475.5,177591,11.4,5.7,2701
7/1/1966,480.6,177830,10.9,6.3,2632
8/1/1966,483.2,178101,11.2,7.1,2784
9/1/1966,489.2,178376,11,7.2,2678
10/1/1966,488.3,178657,11.6,8.7,2830
11/1/1966,490.1,178921,11.8,9.4,2780
12/1/1966,491.8,179153,11.6,8.8,2761
1/1/1967,494.2,179386,12.1,8.6,2666
2/1/1967,493,179597,12.6,9.2,2606
3/1/1967,495.8,179788,12.8,9.2,2764
4/1/1967,501.3,180007,11.9,8.6,2650
5/1/1967,502.2,180222,12,9.5,2861
6/1/1967,506.8,180444,11.9,9,2882
7/1/1967,506.7,180671,12.6,9,2952
8/1/1967,509.8,180945,12.6,8.2,2701
9/1/1967,515.6,181238,11.9,8.7,2635
10/1/1967,512.2,181528,12.9,8.2,2571
11/1/1967,517.4,181796,12.8,8.3,2861
12/1/1967,525.1,182042,11.8,7.8,2790
1/1/1968,530.9,182287,11.7,7.7,2796
2/1/1968,533.6,182520,12.3,7.9,2622
3/1/1968,544.3,182742,11.7,7.8,2509
4/1/1968,544,182992,12.3,7.7,2600
5/1/1968,549.8,183217,12,8.4,2710
6/1/1968,556.3,183452,11.7,8,2856
7/1/1968,563.2,183691,10.7,7.5,2796
8/1/1968,567,183958,10.5,7.2,2747
9/1/1968,568.2,184243,10.6,7.2,2943
10/1/1968,571.6,184524,10.8,7.3,3020
11/1/1968,576.7,184783,10.6,7.9,3454
12/1/1968,576.5,185016,11.1,6.2,3476
1/1/1969,583.5,185242,10.3,7.1,3875
2/1/1969,588.7,185452,9.7,7,4303
3/1/1969,588.9,185650,10.2,6.7,4492
4/1/1969,593.9,185874,9.7,6.9,5016
5/1/1969,600.3,186087,10.1,7,5021
6/1/1969,600.9,186314,11.1,6.8,4944
7/1/1969,602.7,186538,11.8,6.5,5079
8/1/1969,609.9,186790,11.5,6.7,5025
9/1/1969,613.2,187058,11.6,6.2,4821
10/1/1969,618.5,187323,11.4,6.1,4570
11/1/1969,620.5,187574,11.6,5.7,4188
12/1/1969,622.8,187796,11.8,6,4191
1/1/1970,628.7,188013,11.8,5.8,4068
2/1/1970,634,188213,11.7,5.8,3965
3/1/1970,632.3,188387,12.4,5.6,3801
4/1/1970,636,188580,13.3,5.9,3571
5/1/1970,642.4,188790,12.4,5.5,3479
6/1/1970,646.3,189018,12.3,5.6,3429
7/1/1970,648.5,189242,13.5,5.9,3528
8/1/1970,652.9,189496,13.4,5.9,3588
9/1/1970,659.1,189761,12.9,5.9,3775
10/1/1970,658.3,190028,13.1,5.4,3910
11/1/1970,656.6,190265,13.6,5.6,4003
12/1/1970,665.6,190472,13.2,5.6,3653
1/1/1971,676.1,190668,13.3,5.9,3615
2/1/1971,679.4,190858,13.3,4.8,3329
3/1/1971,682,191047,13.5,5.5,3726
4/1/1971,688.8,191245,13.2,5.5,3620
5/1/1971,691.1,191447,13.6,5.3,3569
6/1/1971,699.8,191666,14.7,5.7,3766
7/1/1971,698.9,191889,13.8,5.3,3836
8/1/1971,704.9,192131,13.6,5.8,3946
9/1/1971,713,192376,13.3,6,3884
10/1/1971,715.8,192631,13.3,5.8,4252
11/1/1971,720.9,192847,13.1,5.7,4330
12/1/1971,728.4,193039,13,6.4,4617
1/1/1972,731.5,193223,12.5,7,4671
2/1/1972,736.2,193393,12.8,7.5,4832
3/1/1972,749.2,193540,11.8,7.7,4853
4/1/1972,752.5,193709,11.5,7.5,4893
5/1/1972,758,193888,11.7,7.7,5003
6/1/1972,761.6,194087,11.7,7.5,4885
7/1/1972,769.9,194303,11.7,7.4,4928
8/1/1972,776.3,194528,12,7.1,4682
9/1/1972,781.1,194761,12.2,7.1,4676
10/1/1972,794.9,194997,13,7.4,4573
11/1/1972,800.5,195195,13.6,6.9,4295
12/1/1972,806.1,195372,13.7,6.6,4177
1/1/1973,816.5,195539,12.4,7.1,4081
2/1/1973,825.8,195688,12.5,7.2,3871
3/1/1973,832.8,195831,12.7,6.8,3921
4/1/1973,835.7,195999,13.2,6.8,3906
5/1/1973,841.6,196178,13.2,6.9,3863
6/1/1973,844.3,196372,13.6,6.9,3844
7/1/1973,854.1,196560,13.2,7.1,3819
